Dataset,Subject,Recording,Split,SamplingRate
ADFECGDB,r01,r01_run1,TRAIN,1000
ADFECGDB,r07,r07_run1,TRAIN,1000
ADFECGDB,r08,r08_run1,TRAIN,1000
FECGSYNDB,sub01,sub01_run1,TRAIN,1000
FECGSYNDB,sub02,sub02_run1,TRAIN,1000
FECGSYNDB,sub03,sub03_run1,TRAIN,1000
FECGSYNDB,sub04,sub04_run1,TRAIN,1000
FECGSYNDB,sub05,sub05_run1,TRAIN,1000
FECGSYNDB,sub06,sub06_run1,TRAIN,1000
NInFEA,sub01,sub01_run1,TRAIN,1000
NInFEA,sub02,sub02_run1,TRAIN,1000
NInFEA,sub03,sub03_run1,TRAIN,1000
PCDB,ARR01,ARR01_run1,TRAIN,1000
PCDB,ARR02,ARR02_run1,TRAIN,1000
PCDB,ARR03,ARR03_run1,TRAIN,1000
