epoch,timestamp,duration_sec,train_loss,val_loss,val_rmse,is_best
1,2026-09-06 16:07:13,348.6,0.05022,0.02339,0.01252,True
2,2026-09-06 16:13:03,350.2,0.03446,0.01985,0.01199,True
3,2026-09-06 16:19:00,356.2,0.03151,0.01806,0.01199,False
4,2026-09-06 16:24:46,346.6,0.02953,0.01769,0.01207,False
5,2026-09-06 16:30:32,345.5,0.02827,0.01661,0.01199,False
6,2026-09-06 16:36:14,341.9,0.02721,0.01601,0.01187,True
7,2026-09-06 16:41:56,342.7,0.02649,0.01593,0.01194,False
8,2026-09-06 16:47:31,334.8,0.02574,0.01546,0.01195,False
9,2026-09-06 16:53:13,342.3,0.02520,0.01510,0.01180,True
10,2026-09-06 16:58:56,342.4,0.02454,0.01448,0.01173,True
11,2026-09-06 17:04:37,340.9,0.02413,0.01427,0.01162,True
12,2026-09-06 17:10:17,340.2,0.02366,0.01441,0.01169,False
13,2026-09-06 17:15:58,340.7,0.02339,0.01409,0.01165,False
14,2026-09-06 17:21:38,340.6,0.02301,0.01393,0.01171,False
15,2026-09-06 17:27:18,340.1,0.02258,0.01338,0.01148,True
16,2026-09-06 17:33:00,341.4,0.02238,0.01340,0.01157,False
17,2026-09-06 17:38:40,339.9,0.02195,0.01312,0.01143,True
18,2026-09-06 17:43:16,276.8,0.02166,0.01363,0.01169,False
19,2026-09-06 17:48:31,314.7,0.02140,0.01309,0.01114,True
20,2026-09-06 17:52:39,247.8,0.02104,0.01306,0.01137,False
21,2026-09-06 17:57:45,305.9,0.02060,0.01330,0.01129,False
22,2026-09-06 18:01:48,243.7,0.02030,0.01349,0.01115,False
23,2026-09-06 18:07:17,328.2,0.02000,0.01309,0.01095,True
24,2026-09-06 18:12:46,329.2,0.01959,0.01299,0.01104,False
25,2026-09-06 22:08:52,325.6,0.01937,0.01295,0.01094,True
26,2026-09-06 22:15:03,370.8,0.01876,0.01325,0.01090,False
27,2026-09-06 22:20:42,338.2,0.01844,0.01327,0.01144,False
28,2026-09-06 22:26:31,349.5,0.01812,0.01306,0.01107,False
29,2026-09-06 22:32:17,345.5,0.01777,0.01338,0.01107,False
30,2026-09-06 22:38:08,351.8,0.01735,0.01334,0.01079,False
31,2026-09-06 22:43:52,343.5,0.01722,0.01283,0.01108,True
32,2026-09-06 22:49:36,343.6,0.01679,0.01323,0.01098,False
33,2026-09-06 22:55:19,343.4,0.01652,0.01320,0.01090,False
34,2026-09-06 23:01:03,344.2,0.01615,0.01312,0.01119,False
35,2026-09-06 23:06:46,342.5,0.01578,0.01340,0.01126,False
36,2026-09-06 23:10:52,246.6,0.01558,0.01348,0.01117,False
37,2026-09-06 23:15:05,252.5,0.01523,0.01265,0.01060,True
38,2026-09-06 23:18:51,226.4,0.01503,0.01370,0.01099,False
39,2026-09-06 23:22:36,225.0,0.01460,0.01296,0.01073,False
40,2026-09-06 23:26:22,225.9,0.01419,0.01323,0.01123,False
41,2026-09-06 23:30:07,224.8,0.01422,0.01321,0.01046,False
42,2026-09-06 23:33:52,224.7,0.01408,0.01299,0.01098,False
43,2026-09-06 23:37:37,225.5,0.01338,0.01358,0.01084,False
44,2026-09-06 23:41:23,225.6,0.01310,0.01283,0.01105,False
45,2026-09-06 23:45:09,225.7,0.01279,0.01295,0.01076,False
46,2026-09-06 23:48:53,224.8,0.01261,0.01313,0.01101,False
47,2026-09-06 23:52:38,224.7,0.01228,0.01289,0.01060,False
48,2026-09-06 23:56:24,225.5,0.01210,0.01275,0.01067,False
49,2026-09-07 00:00:09,225.1,0.01237,0.01324,0.01117,False
50,2026-09-07 00:03:54,224.8,0.01235,0.01361,0.01150,False
51,2026-09-07 00:07:39,225.6,0.01202,0.01307,0.01102,False
52,2026-09-07 00:11:25,225.3,0.01170,0.01307,0.01091,False
53,2026-09-07 00:15:11,226.0,0.01166,0.01276,0.01059,False
54,2026-09-07 00:18:56,225.6,0.01115,0.01306,0.01096,False
55,2026-09-07 00:22:42,225.4,0.01118,0.01296,0.01057,False
56,2026-09-07 00:26:26,224.3,0.01087,0.01315,0.01122,False
57,2026-09-07 00:30:12,225.8,0.01062,0.01298,0.01115,False
58,2026-09-07 00:33:56,224.1,0.01046,0.01326,0.01117,False
59,2026-09-07 00:37:40,224.5,0.01026,0.01274,0.01058,False
60,2026-09-07 00:41:24,224.2,0.01017,0.01276,0.01091,False
61,2026-09-07 00:45:09,225.0,0.01003,0.01339,0.01115,False
62,2026-09-07 00:48:55,225.5,0.00983,0.01276,0.01078,False
